target_tweet,authentic_reply,STANCE,ACTION,PERSONALNESS,POLITENESS
>AoDespair: The thing I think we all should acknowledge after Indictment IV and charges of racketeering is that this all began with what now seems like a light little romp in New York about a man paying off a pornstar so he could be President of the United States in the first place.,"@AoDespair In hindsight, the craziest thing about that was that Trump actually thought the GOP base might reject him once they learned about such scandalous behavior.",SUPPORT,STATEMENT,GENERAL,NORMAL
">catturd2: Breaking ... 

Merrick Garland has appointed Sam Bankman-fried as special counsel to investigate crypto currency crimes.","@catturd2 Ok, that one was funny.",SUPPORT,STATEMENT,GENERAL,NORMAL
">cmclymer: ""I don't think Joe Biden gets enough credit for modeling responsible leadership.""

-- Hillary Clinton, just now to Maddow",@cmclymer Anyone listening to Rachel Maddow and Hillary Clinton have totally lost their mind.,OPPOSE,STATEMENT,GENERAL,RUDE
>aintscarylarry: trump’s crying about “ELECTION INTERFERENCE” by the government in the upcoming presidential election because he’s being prosecuted for trying to overturn the last one. How is any of this shit even happening.,@aintscarylarry Because Garland sat on his hands and did not do his job. Why are his coconspirators still in congress?,SUPPORT,QUESTION,GENERAL,NORMAL
">mtgreenee: I will still vote for Trump even if he’s in jail.

This is a communist attack on America’s first amendment to vote for who THE PEOPLE want for President by an attempt to take Trump off the ballots through a politically weaponized DOJ. 

People know exactly what this is.","@mtgreenee Marge is wishing she’d  gotten a pardon. ALL the witnesses who testified before the Grand Juries are Republicans. Not Democrats. Not Independents. All Republicans. That makes these indictments the polar opposite of a political witch hunt. And, yeah, MTG should be nervous..bigly.",OPPOSE,STATEMENT,GENERAL,RUDE
">laurenboebert: Of course Jack Smith wants to schedule Trump's trial just days before the Iowa caucus.

The entire purpose of the trial is to stop him from winning the presidency again.

Not going to work, Jack!",@laurenboebert Traitors belong in prison. Not the wh,OPPOSE,STATEMENT,GENERAL,RUDE
">BlackKnight10k: Who wants to play ""Name That Criminal Defendant"" with Trump's indicted co-conspirators in Georgia?

I'll go first. Sidney Powell and Rudy Giuliani.",@BlackKnight10k Lindsey Graham is definitely on that list.,SUPPORT,STATEMENT,GENERAL,NORMAL
">NickAdamsinUSA: If the national anthem is playing and you aren’t standing, you should be in jail.",@NickAdamsinUSA Nazi...,OPPOSE,STATEMENT,GENERAL,RUDE
">elonmusk: Great product engineering & design sessions today with the 𝕏 team!

Future is looking bright.",@elonmusk I want to attend. ✋🏻,SUPPORT,STATEMENT,PERSONAL,NORMAL
">KLoeffler: Fani Willis spent 2.5 years pursuing Joe Biden’s political opponent instead of actual criminals in the city of Atlanta.

If anyone is interfering in an election, it’s the Fulton County DA - not President Trump.",@KLoeffler You should really try to find a good therapist,OPPOSE,COMMAND,GENERAL,RUDE
