Dimension,Match rate,Chance rate,Above chance,Cohen's kappa,subset
STANCE,0.5269086357947435,0.3716143928345977,0.15529424296014577,0.24713208130381237,all items
ACTION,0.6270337922403004,0.6000664159360654,0.02696737630423507,0.06742963676669878,all items
PERSONALNESS,0.7884856070087609,0.7386266625522204,0.04985894445654049,0.1907575766656079,all items
POLITENESS,0.6770963704630788,0.6375224976151352,0.03957387284794356,0.10917608013621094,all items
MEAN,0.6548811013767208,0.5869574922345047,0.06792360914221622,0.1536238437180825,all items
STANCE,0.5416666666666666,0.37270833333333336,0.16895833333333327,0.2693457323148456,held-out only
ACTION,0.65,0.571875,0.078125,0.18248175182481752,held-out only
PERSONALNESS,0.8166666666666667,0.768888888888889,0.0477777777777777,0.20673076923076927,held-out only
POLITENESS,0.6833333333333333,0.6308333333333334,0.05249999999999999,0.14221218961625282,held-out only
MEAN,0.6729166666666666,0.5860763888888889,0.08684027777777774,0.2001926107466713,held-out only
